globaleventid,sqldate,monthyear,year,fractiondate,actor1code,actor1name,actor1countrycode,actor1knowngroupcode,actor1ethniccode,actor1religion1code,actor1religion2code,actor1type1code,actor1type2code,actor1type3code,actor2code,actor2name,actor2countrycode,actor2knowngroupcode,actor2ethniccode,actor2religion1code,actor2religion2code,actor2type1code,actor2type2code,actor2type3code,isrootevent,eventcode,eventbasecode,eventrootcode,quadclass,goldsteinscale,nummentions,numsources,numarticles,avgtone,actor1geo_type,actor1geo_fullname,actor1geo_countrycode,actor1geo_adm1code,actor1geo_lat,actor1geo_long,actor1geo_featureid,actor2geo_type,actor2geo_fullname,actor2geo_countrycode,actor2geo_adm1code,actor2geo_lat,actor2geo_long,actor2geo_featureid,actiongeo_type,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_lat,actiongeo_long,actiongeo_featureid,dateadded,sourceurl,cameoeventcode,cameoevent,cameobaseeventcode,cameobaseevent,cameorooteventcode,cameorootevent
555339251,20160630,201606,2016,2016.4932,LEG,LAWMAKER,,,,,,LEG,,,CAN,CANADA,CAN,,,,,,,,1,100,100,10,3,-5,2,1,2,-5.321100917,1,Canada,CA,CA,60,-95,CA,1,Bangladesh,BG,BG,24,90,BG,1,Bangladesh,BG,BG,24,90,BG,20160630,http://sacredheartspectrum.com/2016/06/hillary-clinton-and-donald-trump-are-deadlocked/,100,"Demand, not specified below",100,"Demand, not specified below",10,DEMAND
555591237,20160630,201606,2016,2016.4932,CVL,COMMUNITY,,,,,,CVL,,,,,,,,,,,,,1,90,90,9,2,-2,6,1,6,-8.591885442,4,"Vancouver, British Columbia, Canada",CA,CA02,49.25,-123.133,-575268,0,,,,,,,4,"Vancouver, British Columbia, Canada",CA,CA02,49.25,-123.133,-575268,20160630,http://vancouversun.com/news/crime/teen-convicted-of-second-degree-murder-in-new-westminster-beating-death,90,"Investigate, not specified below",90,"Investigate, not specified below",9,INVESTIGATE
424049728,20150409,201504,2015,2015.2712,AUS,AUSTRALIA,AUS,,,,,,,,MYS,MALAYSIAN,MYS,,,,,,,,0,13,13,1,1,0.4,7,2,7,0.186976376,1,Australia,AS,AS,-27,133,AS,4,"Kuala Lumpur, Kuala Lumpur, Malaysia",MY,MY14,3.16667,101.7,-2403010,4,"Kuala Lumpur, Kuala Lumpur, Malaysia",MY,MY14,3.16667,101.7,-2403010,20150409,http://www.aa.com.tr/en/world/491142--malaysia-spends-22-million-on-mh370-search,13,Make optimistic comment,13,Make optimistic comment,1,MAKE PUBLIC STATEMENT
425807343,20150416,201504,2015,2015.2904,IGOAFRAFU,AFRICAN UNION,AFR,,,,,IGO,,,AFR,AFRICA,AFR,,,,,,,,0,57,57,5,1,8,8,4,8,-2.172011101,3,"World Bank, District of Columbia, United States",US,USDC,38.899,-77.0422,2002658,3,"World Bank, District of Columbia, United States",US,USDC,38.899,-77.0422,2002658,3,"World Bank, District of Columbia, United States",US,USDC,38.899,-77.0422,2002658,20150416,http://www.gbooza.com/group/insideafrica/forum/topics/obama-ebola-still-a-danger,57,Sign formal agreement,57,Sign formal agreement,5,ENGAGE IN DIPLOMATIC COOPERATION
427727366,20150423,201504,2015,2015.3096,IGOUNOBUS,INTERNATIONAL CIVIL AVIATION ORGANIZATION,,UNO,,,,IGO,BUS,,CHN,BEIJING,CHN,,,,,,,,1,13,13,1,1,0.4,21,5,15,0.282502444,4,"Beidou, Anhui, China",CH,CH01,31.0409,118.449,10555108,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20150423,http://www.business-standard.com/article/pti-stories/china-s-satellite-navigation-system-to-expand-coverage-by-2020-115042300155_1.html,13,Make optimistic comment,13,Make optimistic comment,1,MAKE PUBLIC STATEMENT
435095167,20150521,201505,2015,2015.3863,LAB,WORKER,,,,,,LAB,,,USA,NEW YORK,USA,,,,,,,,1,57,57,5,1,8,5,1,5,-3.125,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,20150521,http://boingboing.net/2015/05/21/mark-zuckerberg-just-dropped-a.html,57,Sign formal agreement,57,Sign formal agreement,5,ENGAGE IN DIPLOMATIC COOPERATION
447610558,20150709,201507,2015,2015.5178,SSD,SOUTH SUDAN,SSD,,,,,,,,SSDREF,SOUTH SUDAN,SSD,,,,,REF,,,1,53,53,5,1,3.8,4,1,4,-7.749077491,1,Uganda,UG,UG,1,32,UG,1,Sudan,SU,SU,15,30,SU,1,Sudan,SU,SU,15,30,SU,20150709,http://china.org.cn/world/Off_the_Wire/2015-07/09/content_36024332.htm,53,Rally support on behalf of,53,Rally support on behalf of,5,ENGAGE IN DIPLOMATIC COOPERATION
449556438,20150716,201507,2015,2015.537,SIKOPP,SIKH,,,,SIK,,OPP,,,GBR,LONDON,GBR,,,,,,,,1,53,53,5,1,3.8,2,2,2,-6.791926414,1,India,IN,IN,20,77,IN,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,20150716,http://www.ibnlive.com/news/world/sikh-protest-blocks-road-outside-british-parliament-1020978.html,53,Rally support on behalf of,53,Rally support on behalf of,5,ENGAGE IN DIPLOMATIC COOPERATION
451500566,20150723,201507,2015,2015.5562,,,,,,,,,,,GOVJUD,PRESIDENT,,,,,,GOV,JUD,,0,57,57,5,1,8,1,1,1,-0.424808836,0,,,,,,,3,"Luzerne, Pennsylvania, United States",US,USPA,39.9992,-79.9628,1192864,3,"Luzerne, Pennsylvania, United States",US,USPA,39.9992,-79.9628,1192864,20150723,http://triblive.com/news/fayette/8786635-74/inmates-marriage-fayette,57,Sign formal agreement,57,Sign formal agreement,5,ENGAGE IN DIPLOMATIC COOPERATION
459241290,20150820,201508,2015,2015.6301,PRT,PORTUGAL,PRT,,,,,,,,BEN,BENIN,BEN,,,,,,,,0,13,13,1,1,0.4,2,1,2,-0.377928949,1,Benin,BN,BN,9.5,2.25,BN,1,Benin,BN,BN,9.5,2.25,BN,1,Benin,BN,BN,9.5,2.25,BN,20150820,http://thenationonlineng.net/kabiyesi-okunade-sijuwade-waja-erin-wo-ajanaku-sun-bi-oke-1/,13,Make optimistic comment,13,Make optimistic comment,1,MAKE PUBLIC STATEMENT
