globaleventid	sqldate	monthyear	year	fractiondate	actor1code	actor1name	actor1countrycode	actor1knowngroupcode	actor1ethniccode	actor1religion1code	actor1religion2code	actor1type1code	actor1type2code	actor1type3code	actor2code	actor2name	actor2countrycode	actor2knowngroupcode	actor2ethniccode	actor2religion1code	actor2religion2code	actor2type1code	actor2type2code	actor2type3code	isrootevent	eventcode	eventbasecode	eventrootcode	quadclass	goldsteinscale	nummentions	numsources	numarticles	avgtone	actor1geo_type	actor1geo_fullname	actor1geo_countrycode	actor1geo_adm1code	actor1geo_lat	actor1geo_long	actor1geo_featureid	actor2geo_type	actor2geo_fullname	actor2geo_countrycode	actor2geo_adm1code	actor2geo_lat	actor2geo_long	actor2geo_featureid	actiongeo_type	actiongeo_fullname	actiongeo_countrycode	actiongeo_adm1code	actiongeo_lat	actiongeo_long	actiongeo_featureid	dateadded	sourceurl	record	url	authors	keywords	eventcode_1	eventdesc_1	eventbase	eventbasedesc	eventroot	eventrootdesc
471881509	20151001	201510	2015	2015.7425	USA	WASHINGTON	USA								SYR	SYRIA	SYR								0	120	120	12	3	-4.0	6	1	6	-1.30718954248366	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Damascus, Dimashq, Syria	SY	SY13	33.5	36.3	-2541260	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20151001	https://www.stratfor.com/geopolitical-diary/reasoning-behind-russias-airstrikes-syria	283	https://www.stratfor.com/geopolitical-diary/reasoning-behind-russias-airstrikes-syria	[]	['syrian', 'moscows', 'middle', 'airstrikes', 'russias', 'objectives', 'stage', 'syria', 'rebels', 'reasoning', 'wednesdays', 'global', 'merely']	120	Reject, not specified below	120	Reject, not specified below	120	Reject, not specified below
479938874	20151029	201510	2015	2015.8192	CHN	CHINA	CHN																		1	012	012	01	1	-0.4	6	1	6	-2.92397660818714	4	Wang Tao, Shanxi, China	CH	CH24	36.8667	112.15	-1930009	0							4	Wang Tao, Shanxi, China	CH	CH24	36.8667	112.15	-1930009	20151029	http://www.ejinsight.com/20151029-julius-baer-warns-of-debt-risk-to-china-growth/	5	http://www.ejinsight.com/20151029-julius-baer-warns-of-debt-risk-to-china-growth/	['Hong Kong Economic Journal']	['trillion', 'ejinsight', 'china', 'growth', 'wong', 'yuan', 'economic', 'baer', '2020', 'julius', 'debt', 'warns', 'risk']	012	Make pessimistic comment	012	Make pessimistic comment	012	Make pessimistic comment
482280582	20151105	201511	2015	2015.8356	EDU	SCHOOL						EDU			USA	UNITED STATES	USA								1	120	120	12	3	-4.0	2	1	2	-1.41843971631206	3	New Milford, Connecticut, United States	US	USCT	41.577	-73.4085	209242	3	New Milford, Connecticut, United States	US	USCT	41.577	-73.4085	209242	3	New Milford, Connecticut, United States	US	USCT	41.577	-73.4085	209242	20151105	http://www.newstimes.com/news/article/New-Milford-teacher-evaluation-data-sparks-public-6613711.php	285	http://www.newstimes.com/news/article/New-Milford-teacher-evaluation-data-sparks-public-6613711.php	['Susan Tuz', 'Claire Tisne Haft', 'Dan Haar', 'Jim Cameron', 'Columnist', 'The Motherlode', 'Associate Editor', 'Written By']	['teacher', 'sparks', 'school', 'teachers', 'state', 'request', 'data', 'public', 'education', 'release', 'milford', 'debate', 'information', 'evaluation']	120	Reject, not specified below	120	Reject, not specified below	120	Reject, not specified below
484113684	20151112	201511	2015	2015.8548	NGOPALHRI	AL HAQ			PAL			NGO	HRI		IGOUNO	THE UN		UNO				IGO			0	106	106	10	3	-5.0	3	3	3	-3.09798741549199	1	Israel	IS	IS	31.5	34.75	IS	1	Israel	IS	IS	31.5	34.75	IS	1	Jordan	JO	JO	31	36	JO	20151112	http://www.imra.org.il/story.php3?id=68967	8	http://www.imra.org.il/story.php3?id=68967	[]	['european', 'eu', 'israeli', 'settlements', '11', 'monitor', 'settlement', 'products', 'labeling', 'ngo', '2015', 'report', 'ngodriven', 'ngos', 'israel']						
486283282	20151119	201511	2015	2015.8740	GOV	PRESIDENT						GOV			USA	UNITED STATES	USA								1	160	160	16	4	-4.0	4	1	4	2.80701754385965	3	Salk Institute, California, United States	US	USCA	32.8867	-117.246	248745	3	Salk Institute, California, United States	US	USCA	32.8867	-117.246	248745	3	Salk Institute, California, United States	US	USCA	32.8867	-117.246	248745	20151119	http://news.sciencemag.org/people-events/2015/11/elizabeth-blackburn-lead-salk-institute	287	http://news.sciencemag.org/people-events/2015/11/elizabeth-blackburn-lead-salk-institute	['Emily Underwood']	['william', 'institute', 'nobel', 'research', 'president', 'san', 'blackburn', 'public', 'elizabeth', 'salk', 'lead', 'ends']	160	Reduce relations, not specified below	160	Reduce relations, not specified below	160	Reduce relations, not specified below
490697709	20151203	201512	2015	2015.9123	AUS	AUSTRALIA	AUS								MEX	MEXICO	MEX								1	030	030	03	1	4.0	8	1	8	-1.28	1	Australia	AS	AS	-27	133	AS	1	Mexico	MX	MX	23	-102	MX	1	Vietnam, Republic Of	VM	VM	16	106	VM	20151203	http://www.lexology.com/library/detail.aspx?g=7f236a9b-9286-4a84-a9f3-be853562329f	288	http://www.lexology.com/library/detail.aspx?g=7f236a9b-9286-4a84-a9f3-be853562329f	[]	['respect', 'transpacific', 'partnership', 'provides', 'article', 'copyright', 'tpp', 'term', 'patent', 'infringement', 'canada', 'furthermore']	030	Express intent to cooperate, not specified below	030	Express intent to cooperate, not specified below	030	Express intent to cooperate, not specified below
490743930	20151203	201512	2015	2015.9123	USA	NEVADA	USA								JUD	JUDGE						JUD			0	120	120	12	3	-4.0	2	1	2	0.9478672985782	2	Nevada, United States	US	USNV	38.4199	-117.122	NV	2	Nevada, United States	US	USNV	38.4199	-117.122	NV	2	Nevada, United States	US	USNV	38.4199	-117.122	NV	20151203	http://www.reviewjournal.com/opinion/columns-blogs/jane-ann-morrison/lawyers-poke-hardesty-falls-flat	290	http://www.reviewjournal.com/opinion/columns-blogs/jane-ann-morrison/lawyers-poke-hardesty-falls-flat	['Sponsored Content For Dental Implant Center', 'Formerly All Bright Dental']	['breaking', 'owner', 'practice', 'vegas', 'dental', 'sean', 'procedure', 'served', 'headlines', 'shock', 'patients', 'sponsored']	120	Reject, not specified below	120	Reject, not specified below	120	Reject, not specified below
496825098	20151224	201512	2015	2015.9699											INDGOV	ANDHRA PRADESH	IND					GOV			1	043	043	04	1	2.8	2	1	2	-0.43290043290044	0							5	Tamil Nadu, Tamil Nadu, India	IN	IN25	11	78	-2112557	4	Telangana, Andhra Pradesh, India	IN	IN02	18	79.5	-2112824	20151224	http://www.thehansindia.com/posts/index/2015-12-24/Mega-Chandi-Yagam-commences-195244	417	http://www.thehansindia.com/posts/index/2015-12-24/Mega-Chandi-Yagam-commences-195244	['The Hans India']	['personal', 'telangana', 'nadu', 'bjp', 'pradesh', 'commences', 'tamil', 'rao', 'chandi', 'mega', 'yagam', 'performed', 'money']	043	Host a visit	043	Host a visit	043	Host a visit
506327332	20160128	201601	2016	2016.0767	LEG	LAWMAKER						LEG			GOV	PRESIDENT						GOV			1	0834	083	08	2	5.0	10	1	10	1.8450184501845	4	Dushanbe, Tajikistan (general), Tajikistan	TI	TI00	38.56	68.7739	-2555530	4	Dushanbe, Tajikistan (general), Tajikistan	TI	TI00	38.56	68.7739	-2555530	4	Dushanbe, Tajikistan (general), Tajikistan	TI	TI00	38.56	68.7739	-2555530	20160128	http://www.timesca.com/news/16256-tajik-president-appoints-daughter-as-chief-of-his-administration					0834	Accede to demands for change in institutions, regime	0834	Accede to demands for change in institutions, regime	0834	Accede to demands for change in institutions, regime
515403100	20160225	201602	2016	2016.1507	AFG	AFGHAN	AFG								SYR	SYRIAN	SYR								0	120	120	12	3	-4.0	2	1	2	-2.92202077099102	1	Afghanistan	AF	AF	33	65	AF	1	Syria	SY	SY	35	38	SY	1	Afghanistan	AF	AF	33	65	AF	20160225	http://www.msf.org/article/eu-migration-crisis-update-february-2016	295	http://www.msf.org/article/eu-migration-crisis-update-february-2016	[]	['migration', 'registration', 'msf', 'crisis', 'update', 'refugees', 'providing', '2016', 'medical', 'migrants', 'island', 'camp', 'consultations', 'care', 'eu']	120	Reject, not specified below	120	Reject, not specified below	120	Reject, not specified below
